id,lat,lon,county,building_type,name,raw_income,minority_pct,flood_zone,income_quartile,wind_risk_mph,property_value,noi,insurance_premium,physical_risk_score,financial_exposure_score,final_priority_score,baseline_rank,funded_baseline,minority_quartile,risk_justified_prob_balanced,risk_justified_prob_plain,risk_only_funded,risk_justified_prob
osm_208367643,26.2537126,-80.2008493,Broward,retail,Commercial Property 208367643,54909.0,0.4713399050748448,X,2.0,184.5410427810181,5694524.194950759,385661.6386722943,45556.19355960608,1.5,0.951,0.708,1.0,True,Mid-High,0.24084653813274462,0.1258066346048451,True,0.24084653813274462
osm_272560161,26.1736666,-80.0991394,Broward,retail,Commercial Property 272560161,98473.0,0.0437293729372937,X,4.0,178.0768943263914,10834925.407026852,553429.2260177418,86679.40325621483,1.0,0.959,0.60788,2.0,True,Low,0.32614656011769216,0.17721294694431478,True,0.32614656011769216
osm_192555122,25.5762195,-80.3391323,Miami-Dade,retail,Advance Auto Parts,74868.0,0.5650935720097641,X,3.0,156.46990594339346,8862756.509635562,669938.2786084991,70902.0520770845,0.0,0.999,0.5994,3.0,True,High,0.5297375148083124,0.32543068472383924,True,0.5297375148083124
osm_294911279,26.0099941,-80.1907697,Broward,retail,Commercial Property 294911279,67129.0,0.5107087657319497,X,2.0,177.129648817639,7783023.161815527,463149.4972893862,62264.18529452421,0.0,0.999,0.5994,3.0,True,Mid-High,0.5297375148083124,0.32543068472383924,True,0.5297375148083124
osm_255485830,25.8004336,-80.3364126,Miami-Dade,retail,Commercial Property 255485830,89028.0,0.3479697178251892,X,4.0,154.27133821956727,10213373.315853627,664677.2740210454,81706.98652682902,0.0,0.999,0.5994,3.0,True,Low-Mid,0.5297375148083124,0.32543068472383924,True,0.5297375148083124
osm_161793205,26.1217567,-80.2586654,Broward,office,Commercial Property 161793205,81947.0,0.7327752736638764,X,3.0,151.58295511186884,9227396.726759017,655832.8164534395,73819.17381407211,0.0,0.999,0.5994,3.0,True,High,0.5297375148083124,0.32543068472383924,True,0.5297375148083124
osm_161691189,26.1191248,-80.2513357,Broward,retail,Commercial Property 161691189,137105.0,0.3543567159484114,X,4.0,182.26559822580907,15194683.092692776,1211040.789545678,121557.4647415422,0.0,0.999,0.5994,3.0,True,Low-Mid,0.5297375148083124,0.32543068472383924,True,0.5297375148083124
osm_250493607,25.9858974,-80.1434756,Broward,office,Commercial Property 250493607,45230.0,0.5371503496503497,X,1.0,182.8824629547466,4576025.06687326,305239.34937194566,36608.20053498608,0.0,0.999,0.5994,3.0,True,Mid-High,0.5297375148083124,0.32543068472383924,True,0.5297375148083124
osm_278554768,25.7604406,-80.4004944,Miami-Dade,retail,Commercial Property 278554768,70423.0,0.4507294599436908,X,3.0,160.90988766312938,8262171.557304052,504858.0184133777,66097.37245843241,0.0,0.999,0.5994,3.0,True,Mid-High,0.5297375148083124,0.32543068472383924,True,0.5297375148083124
osm_138391092,25.5746339,-80.3689072,Miami-Dade,commercial,Southland Mall,37824.0,0.4902796725784447,X,1.0,151.20359823903266,3847845.533360253,275788.80101128214,30782.764266882023,0.0,0.999,0.5994,3.0,True,Mid-High,0.5297375148083124,0.32543068472383924,True,0.5297375148083124
osm_278763645,25.5935918,-80.368401,Miami-Dade,commercial,Commercial Property 278763645,28225.0,0.6573307355090112,X,1.0,168.20238074122338,2761389.8650330906,214972.97735920947,22091.11892026473,0.0,0.999,0.5994,3.0,True,High,0.5297375148083124,0.32543068472383924,True,0.5297375148083124
osm_255378886,26.112562,-80.1424726,Broward,office,Commercial Property 255378886,122758.0,0.2766981943250215,X,4.0,181.05244599017144,13443351.88686088,918874.91178669,107546.81509488705,0.0,0.999,0.5994,3.0,True,Low,0.5297375148083124,0.32543068472383924,True,0.5297375148083124
